title,url,news maker
British Prime Minister Boris Johnson to visit India as Chief Guest on Republic Day ceremony,https://c.newsnow.co.uk/A/1058927354?-461:2192,The Statesman
‘New variant’ of COVID-19 identified in South of England,https://c.newsnow.co.uk/A/1058897061?-461:2192,Holyrood Magazine
London Tier 3: Schools in Greenwich to stay open after Government legal threat,https://c.newsnow.co.uk/A/1058939469?-461:2192,LBC News
"UK warns Facebook, Twitter & other social platforms to better protect users from harmful content or face huge fines",https://c.newsnow.co.uk/A/1058948477?-461:2192,RT
UK urged to axe 'rash' easing of restrictions over Christmas,https://c.newsnow.co.uk/A/1058946076?-461:2192,9News
Putin congratulates Biden,https://c.newsnow.co.uk/A/1058948663?-14432:11,U.S. News & World Report
EU regulator brings forward Covid vaccine ruling after German pressure,https://c.newsnow.co.uk/A/1058949356?-14432:11,The Guardian
Moderna COVID-19 vaccine shows ‘no specific safety concerns’ — US regulator,https://c.newsnow.co.uk/A/1058947159?-14432:11,The Times of Israel
"McConnell acknowledges Biden, Harris won election in break with Trump",https://c.newsnow.co.uk/A/1058954041?-14432:11,The Independent
UK government told relaxing Covid rules at Christmas will cost lives,https://c.newsnow.co.uk/A/1058937494?-14432:11,Reuters
Over 65s take on jobs amid record redundancies,https://c.newsnow.co.uk/A/1058912058?-1938:2386,interactive investor
‘Illogical’ move to tier three shuts London bars,https://c.newsnow.co.uk/A/1058917330?-1938:2386,The Spirit Business
Barclays hit with £26m fine over arrears failings,https://c.newsnow.co.uk/A/1058923659?-1938:2386,BestAdvice
H&M and Zara count the cost of Covid on clothing sales as industry body warns that the jobs outlook for Britain's,https://c.newsnow.co.uk/A/1058925140?-1938:2386,This is Money
JD Sports buys Shoe Palace to expand footprint on U.S. West Coast,https://c.newsnow.co.uk/A/1058935195?-1938:2386,Reuters
Jesy Nelson's boyfriend to urged to 'take care' by Little Mix fans as she quits,https://c.newsnow.co.uk/A/1058952974?-11020:6,Daily Star
Taylor Swift explains fan led theory of third album in 'folklore' series,https://c.newsnow.co.uk/A/1058911241?-11020:6,Music-News.com
Prue Leith receives 'painless' Covid vaccination,https://c.newsnow.co.uk/A/1058952095?-11020:6,BBC
Cheryl's son Bear is adorable in video showing off home Christmas decorations,https://c.newsnow.co.uk/A/1058954277?-11020:6,HELLO! Magazine
Zack Snyder on Justice League’s potential theatrical run and R-rating: “Batman drops an F-bomb”,https://c.newsnow.co.uk/A/1058953698?-11020:6,Flickering Myth
Alonso fastest for Renault in Abu Dhabi F1 young drivers test,https://c.newsnow.co.uk/A/1058947187?-15048:5,Crash.Net
Gloucester turn to Adam Hastings after Danny Cipriani announces departure,https://c.newsnow.co.uk/A/1058953892?-15048:5,Belfast Telegraph
"Baltimore Ravens: Lamar Jackson quiets critics vs. Browns, at least for one night",https://c.newsnow.co.uk/A/1058953143?-15048:5,Sportsnaut
'You're scared to fight me': YouTuber Jake Paul challenges Conor McGregor to boxing match,https://c.newsnow.co.uk/A/1058948973?-15048:5,Canoe
European Tour announces global 2021 schedule,https://c.newsnow.co.uk/A/1058953916?-15048:5,Golf Monthly
Watch: England footballer Jack Grealish crashes Range Rover Sport into parked cars,https://c.newsnow.co.uk/A/1058948987?-833:12,Leeds Live
Liverpool v Tottenham: Jurgen Klopp credits Jose Mourinho for turning Spurs into a 'results machine',https://c.newsnow.co.uk/A/1058945735?-833:12,The National
Mikel Arteta ready to take ‘the bullets’ but believes Arsenal’s form is a blip,https://c.newsnow.co.uk/A/1058926147?-833:12,FourFourTwo
Rangers boss Steven Gerrard in emotional farewell to former Liverpool gaffer Gerard Houllier,https://c.newsnow.co.uk/A/1058941308?-833:12,Glasgow Evening Times
Celtic captain Scott Brown fired up for Hearts cup final clash as he urges Hoops to make,https://c.newsnow.co.uk/A/1058952642?-833:12,Glasgow Live
Cyberpunk 2077 on PS4 and Xbox One is borked: CD Projekt offers refunds,https://c.newsnow.co.uk/A/1058877629?-29494:15630,T3
More US government agencies hacked,https://c.newsnow.co.uk/A/1058933541?-29494:15630,BBC
"For whatever reason, Apple Fitness+ isn’t compatible with AirPlay",https://c.newsnow.co.uk/A/1058869475?-29494:15630,UberGizmo
Microsoft: This new Windows 10 preview is just to test how quickly we can issue builds,https://c.newsnow.co.uk/A/1058927739?-29494:15630,ZDNet
Apple released new App Store privacy labels that tell you exactly how you're being tracked when ,https://c.newsnow.co.uk/A/1058913009?-29494:15630,Business Insider
We got it! Japanese space agency confirms its probe has Ryugu asteroid samples,https://c.newsnow.co.uk/A/1058907076?-317:2185,The Register
Why 2020 might be the best Geminid Meteor Shower of all-time,https://c.newsnow.co.uk/A/1058951285?-317:2185,Starts With A Bang!
Jupiter Saturn conjunction: How to see the 'Christmas star' of 2020,https://c.newsnow.co.uk/A/1058953218?-317:2185,New Scientist
Chicken-sized dinosaur with ‘flamboyant’ fur mane discovered,https://c.newsnow.co.uk/A/1058889179?-317:2185,The Independent
The farthest galaxy in the universe,https://c.newsnow.co.uk/A/1058949610?-317:2185,EurekAlert!
